"Date","UserAgent","IP Address","Page visited","Referer","Platform","OS","Browser","MajorVer","MinorVer","IsBeta","Special"
"2001/4/13","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"2001/4/13","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"2001/4/13","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"2001/4/13","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"2001/4/13","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"2001/4/13","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
"4/13/2001","Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0; COM+ 1.0.2204)","127.0.0.1","/class.browser.test.asp","","x86","Win2k","IE","5","5","False",""
